"","X","RecordedDate","UserLanguage","time","age","gender","married","education","caste_ethnicity","caste_ethnicity_aru","district","rural_urban","past_experience","anxiety","eews_know","opinion_ewws_need","receive_warning","display","behavior","small_behavior","exp1_implement","exp_1_useful","exp_1_interest","ask_again","exp1_treat"
"11",11,"2024-07-09","NE",24.2,"56-60","Male","Married","University (Bachelor)","Bahun","","Kanchanpur","Town","Personally felt an earthquake before,Know family or friends who experienced injury, damage, or loss from an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Somewhat useful","Yes","",1
"12",12,"2024-07-09","EN",7.63333333333333,"26-30","Male","Single (never married)","Post-graduate","Bahun","","Nuwakot","City","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Personally have experienced injury, damage, or loss from an earthquake,Know family or friends who experienced injury, damage, or loss from an earthquake,Suffered financial loss due to an earthquake,Observed earthquake loss in my neighborhood, village, or city","Highly agree (Very worried)","I know what it is, how they work, and have formed detailed opinions about them.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Epicenter (point of earthquake origin),Expected duration of shaking","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",1
"13",13,"2024-07-09","EN",7.3,"36-40","Male","Married","Post-graduate","Newar (Newa)","","Kathmandu","City","Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.)","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",2
"14",14,"2024-07-09","EN",7.63333333333333,"26-30","Female","Single (never married)","Post-graduate","Newar (Newa)","","Lalitpur","City","Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Struggled mentally following an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes, I will certainly feel.","Public announcements (via a loudspeaker or siren)","Time available before shaking begins,Expected intensity of ground shaking","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",3
"15",15,"2024-07-09","EN",9.88333333333333,"18-20","Male","Single (never married)","Secondary","Bahun","","Tanahun","Town","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Personally have experienced injury, damage, or loss from an earthquake,Know family or friends who experienced injury, damage, or loss from an earthquake,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Expected duration of shaking,Recommended actions","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",3
"16",16,"2024-07-09","EN",9.98333333333333,"18-20","Male","Single (never married)","University (Bachelor)","Bahun","","Lalitpur","Town","Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Personally have experienced injury, damage, or loss from an earthquake,Observed earthquake loss in my neighborhood, village, or city","Slightly agree ","I have heard of it but do not know anything about it.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","No","",0
"17",17,"2024-07-09","EN",11.5,"21-25","Female","Single (never married)","University (Bachelor)","Magar","","Myagdi","Town","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Struggled mentally following an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes, I will certainly feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",2
"18",18,"2024-07-09","EN",19.7,"18-20","Male","Single (never married)","Secondary","Bahun","","Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Personally have experienced injury, damage, or loss from an earthquake,Know family or friends who experienced injury, damage, or loss from an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected duration of shaking","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Somewhat useful","Ask me again at the end of the survey","Yes",2
"19",19,"2024-07-09","EN",13.3333333333333,"31-35","Male","Married","University (Bachelor)","Chhetri","","Parbat","Village","Personally felt an earthquake before,Have seen the effects of the earthquake on TV, social media, etc.","Neither agree nor disagree","I have heard of it and know a bit about them.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",3
"20",20,"2024-07-09","EN",197.9,"18-20","Male","Single (never married)","Secondary","Bahun","","Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Know family or friends who experienced injury, damage, or loss from an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",3
"21",21,"2024-07-09","NE",27.0666666666667,"","Male","Single (never married)","Skip","Tamang","","Dolakha","City","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Know family or friends who experienced injury, damage, or loss from an earthquake,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",2
"22",22,"2024-07-10","EN",44.3166666666667,"41-45","Male","Single (never married)","Post-graduate","Bahun","","Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Know family or friends who experienced injury, damage, or loss from an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes, I will certainly feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",3
"23",23,"2024-07-10","EN",76.0666666666667,"","Male","Married","Post-graduate","Madhesh","","","City","Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Have seen the effects of the earthquake on TV, social media, etc.","Highly agree (Very worried)","I have heard of it but do not know anything about it.","For all earthquakes, I will certainly feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",0
"24",24,"2024-07-10","EN",5.18333333333333,"41-45","Male","Married","Post-graduate","Chhetri","","Chitwan","City","Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.)","Highly agree (Very worried)","Skip","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",2
"25",25,"2024-07-10","EN",3.31666666666667,"21-25","Male","Single (never married)","Secondary","Bahun","","Kathmandu","City","Personally felt an earthquake before,Know family or friends who experienced injury, damage, or loss from an earthquake,Struggled mentally following an earthquake,Have seen the effects of the earthquake on TV, social media, etc.","Highly agree (Very worried)","I have never heard of it.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",1
"26",26,"2024-07-10","NE",10.25,"51-55","Male","Married","University (Bachelor)","Bahun","","Kathmandu","Town","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Slightly agree ","I have heard of it but do not know anything about it.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Skip","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Somewhat useful","Yes","",2
"27",27,"2024-07-10","EN",6.01666666666667,"46-50","Female","Married","University (Bachelor)","Bahun","","Kathmandu","Town","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Personally have experienced injury, damage, or loss from an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Highly agree (Very worried)","I have never heard of it.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","I have no strong opinions about its implementation.","Somewhat useful","Ask me again at the end of the survey","Yes",3
"28",28,"2024-07-10","EN",12.2333333333333,"26-30","Male","Single (never married)","University (Bachelor)","Newar (Newa)","","Bhaktapur","City","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Know family or friends who experienced injury, damage, or loss from an earthquake,Suffered financial loss due to an earthquake,Struggled mentally following an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes, I will certainly feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Somewhat useful","Yes","",0
"29",29,"2024-07-10","EN",6.61666666666667,"21-25","Male","Single (never married)","University (Bachelor)","Other","Sunuwar ","Kaski","City","Personally felt an earthquake before,Have seen the effects of the earthquake on TV, social media, etc.","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes, independent of whether the shaking could be felt or not.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin)","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",1
"30",30,"2024-07-10","EN",38.05,"18-20","Male","Single (never married)","Secondary","Bahun","","Kathmandu","City","Personally felt an earthquake before","Slightly agree ","I have heard of it but do not know anything about it.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",3
"31",31,"2024-07-10","NE",15.6166666666667,"41-45","Male","Married","No formal education","Newar (Newa)","","Lalitpur","City","Have seen the effects of the earthquake on TV, social media, etc.","Slightly agree ","I have never heard of it.","I don’t know","Mobile phone alert (app)","Magnitude of earthquake","I don’t know what I would do","I don't know","I feel strongly this SHOULD be implemented in Nepal.","Somewhat useful","Yes","",2
"32",32,"2024-07-10","EN",11.6,"36-40","Male","Married","Post-graduate","Newar (Newa)","","Ilam","City","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.)","Slightly agree ","I have heard of it but do not know anything about it.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",1
"33",33,"2024-07-10","NE",20.8666666666667,"51-55","Female","Married","Secondary","Bahun","","Kaski","City","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Slightly agree ","I have heard of it but do not know anything about it.","For all earthquakes that will certainly cause damage.","Mobile phone alert (app)","Time available before shaking begins,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",2
"34",34,"2024-07-10","EN",13.5166666666667,"26-30","Male","Married","University (Bachelor)","Skip","","Skip","Skip","Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.)","Highly agree (Very worried)","I know what it is and how they work.","For all earthquakes, I will certainly feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",0
"35",35,"2024-07-11","EN",8.36666666666667,"41-45","Male","Single (never married)","University (Bachelor)","Thakuri","","Kathmandu","City","Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Know family or friends who experienced injury, damage, or loss from an earthquake,Struggled mentally following an earthquake,Observed earthquake loss in my neighborhood, village, or city","Highly agree (Very worried)","I have heard of it and know a bit about them.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin)","Run outside to open space","I don't know","I think it is a good thing to implement but not a priority.","Somewhat useful","Skip","",3
"36",36,"2024-07-11","EN",7.85,"","","","University (Bachelor)","Other","Muslim","Banke","City","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.)","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes, I may feel.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin)","Take cover and wait for the shaking to stop","I would change my behavior depending on how big the earthquake was expected to be.","I think it is a good thing to implement but not a priority.","Useful","Yes","",2
"37",37,"2024-07-11","EN",39.65,"21-25","Male","Single (never married)","University (Bachelor)","Rai","","Sunsari","City","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Struggled mentally following an earthquake,Have seen the effects of the earthquake on TV, social media, etc.","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking,Recommended actions","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",3
"38",38,"2024-07-11","EN",22.9166666666667,"36-40","Male","Married","University (Bachelor)","Madhesh","","Dhanusha","Town","Personally felt an earthquake before,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Slightly agree ","I have heard of it and know a bit about them.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Recommended actions","Run outside to open space","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",0
"39",39,"2024-07-11","EN",6.25,"21-25","Female","Single (never married)","University (Bachelor)","Chhetri","","Kathmandu","City","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Struggled mentally following an earthquake,Observed earthquake loss in my neighborhood, village, or city,Have seen the effects of the earthquake on TV, social media, etc.","Highly agree (Very worried)","I have never heard of it.","For all earthquakes that may cause damage.","Mobile phone alert (app)","Time available before shaking begins,Magnitude of earthquake,Expected intensity of ground shaking,Epicenter (point of earthquake origin),Expected duration of shaking","Run outside to open space","I would change my behavior depending on how big the earthquake was expected to be.","I feel strongly this SHOULD be implemented in Nepal.","Useful","No","",1
"40",40,"2024-07-11","EN",9.18333333333333,"21-25","Male","Single (never married)","University (Bachelor)","Bahun","","Ilam","Village","Personally felt an earthquake before,Personally have felt strong shaking (i.e. where walking steadily is difficult. Furniture and appliances may move on smooth surfaces, and objects fall from walls and shelves.),Struggled mentally following an earthquake","Slightly disagree ","I know what it is and how they work.","For all earthquakes, independent of whether the shaking could be felt or not.","Social media (Facebook, Twitter)","Time available before shaking begins,Recommended actions","Take cover and wait for the shaking to stop","My behavior would be the same for all earthquakes.","I feel strongly this SHOULD be implemented in Nepal.","Useful","Yes","",0
